,artist_name,track_name,track_id,popularity,release_date,artist_followers,Position,Track Name,Artist,Streams,URL,Date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
204,Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,81,2017-03-18,58378449,93,Passionfruit,Drake,264280,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd,01/01/2018,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,audio_features,5mCPDVBb16L4XQwDdbRUpz,spotify:track:5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,298941,4
209,Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,81,2017-03-18,58378449,32,Passionfruit,Drake,584637,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd,07/01/2017,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,audio_features,5mCPDVBb16L4XQwDdbRUpz,spotify:track:5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,298941,4
214,Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,81,2017-03-18,58378449,87,Passionfruit,Drake,261935,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd,10/01/2017,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,audio_features,5mCPDVBb16L4XQwDdbRUpz,spotify:track:5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,298941,4
219,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,86,2017-03-03,87231405,4,Shape of You,Ed Sheeran,1341730,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,04/01/2017,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
228,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,86,2017-03-03,87231405,4,Shape of You,Ed Sheeran,1341730,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,04/01/2018,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
237,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,86,2017-03-03,87231405,32,Shape of You,Ed Sheeran,518154,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,01/01/2018,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
246,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,86,2017-03-03,87231405,111,Shape of You,Ed Sheeran,275049,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,01/01/2019,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
255,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,86,2017-03-03,87231405,107,Shape of You,Ed Sheeran,299544,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,01/01/2020,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
264,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,86,2017-03-03,87231405,156,Shape of You,Ed Sheeran,240857,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,01/01/2021,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
273,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,86,2017-03-03,87231405,30,Shape of You,Ed Sheeran,592059,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,07/01/2017,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
282,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,86,2017-03-03,87231405,176,Shape of You,Ed Sheeran,195419,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,07/01/2018,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
291,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,86,2017-03-03,87231405,68,Shape of You,Ed Sheeran,322559,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,10/01/2017,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
300,KYLE,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL,73,2016-12-02,992168,5,iSpy (feat. Lil Yachty),KYLE,1233355,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,04/01/2017,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,audio_features,2EEeOnHehOozLq4aS0n6SL,spotify:track:2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/audio-analysis/2EEeOnHehOozLq4aS0n6SL,253107,4
306,KYLE,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL,73,2016-12-02,992168,5,iSpy (feat. Lil Yachty),KYLE,1233355,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,04/01/2018,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,audio_features,2EEeOnHehOozLq4aS0n6SL,spotify:track:2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/audio-analysis/2EEeOnHehOozLq4aS0n6SL,253107,4
312,KYLE,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL,73,2016-12-02,992168,40,iSpy (feat. Lil Yachty),KYLE,349836,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,01/01/2017,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,audio_features,2EEeOnHehOozLq4aS0n6SL,spotify:track:2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/audio-analysis/2EEeOnHehOozLq4aS0n6SL,253107,4
