,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
97,"Hats Off (feat. Travis Scott)","Lil Baby",307386,https://open.spotify.com/track/4lUmnwRybYH7mMzf16xB0y
98,Straightenin,Migos,306093,https://open.spotify.com/track/15EH2glphTjcarRjAsc0EB
99,"Goosebumps - Remix","Travis Scott",303923,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
100,"Qué Más Pues?","J Balvin",303620,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
101,"Hold On","Justin Bieber",302263,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
102,"WHOLE LOTTA MONEY",BIA,302021,https://open.spotify.com/track/5yorXJWdBan1Vlh116ZtQ7
103,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",301916,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
104,"Laugh Now Cry Later (feat. Lil Durk)",Drake,301728,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
105,"What’s Next",Drake,300534,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
106,"Lucid Dreams","Juice WRLD",300478,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
107,"The Spins","Mac Miller",298127,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
108,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",294837,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
109,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",293454,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
110,"Save Your Tears","The Weeknd",292495,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
111,"Wishing Well","Juice WRLD",288306,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
112,"Come & Go (with Marshmello)","Juice WRLD",286295,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
113,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",285571,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
114,"MANIFESTO (feat. Domo Genesis)","Tyler, The Creator",279640,https://open.spotify.com/track/6qouBO0wJtYc3k7DfKRUBx
115,Dinero,"Trinidad Cardona",278021,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
116,"We're Good","Dua Lipa",276984,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
117,"Been Like This","Doja Cat",275710,https://open.spotify.com/track/7y3xU9vEC1s8DSuuoSYKih
118,"WAP (feat. Megan Thee Stallion)","Cardi B",272812,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
119,"Bezos I","Bo Burnham",271931,https://open.spotify.com/track/0Kdj7nwaYQmvhxnqZaIQuW
120,"Look Who’s Inside Again","Bo Burnham",271616,https://open.spotify.com/track/7d8dqy6GbiUqotcTSs0jXg
121,"Mr. Brightside","The Killers",268515,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
122,"Daddy Issues","The Neighbourhood",267400,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
123,"What You Know Bout Love","Pop Smoke",266788,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
124,"Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay",266662,https://open.spotify.com/track/1dg3qy5DjoJodawfOCgrTP
125,2055,"Sleepy Hallow",266434,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
126,"Options (feat. JID)","Doja Cat",266061,https://open.spotify.com/track/1ayV64ur8VWgc6OPtPRl1q
127,WILSHIRE,"Tyler, The Creator",264829,https://open.spotify.com/track/1pbbsI2KGPOMu0HmuGccBu
128,"Fancy Like","Walker Hayes",264821,https://open.spotify.com/track/3ZozFqJJlDBNIm4xqxn2ZD
129,34+35,"Ariana Grande",263005,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
130,"As the World Caves In","Sarah Cothran",262758,https://open.spotify.com/track/7LAmsNJpBaNvNg7VZPXxSv
131,Robbery,"Juice WRLD",262293,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
