,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
80,"Rich MF (feat. Polo G & Lil Durk)","Trippie Redd",360601,https://open.spotify.com/track/5KQxun2WxwDMsV7HCN2ONK
81,"Tell Em",Cochise,360594,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
82,happier,"Olivia Rodrigo",350195,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
83,"Meet Me At Our Spot","THE ANXIETY",348251,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
84,"EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)","DJ Khaled",345449,https://open.spotify.com/track/1EJIcDYXwSqipW5dFe4uJz
85,Paralyzed,Sueco,341096,https://open.spotify.com/track/5svL1PkWw8hPEAOdTNLexy
86,Loverboy,A-Wall,331015,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP
87,"Over The Top (feat. Drake)",Smiley,330728,https://open.spotify.com/track/3yaYgjEFkRw3PVjW9mV1TO
88,Circles,"Post Malone",325770,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
89,"my ex's best friend (with blackbear)","Machine Gun Kelly",322203,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
90,"SUVs (Black on Black)","Jack Harlow",321866,https://open.spotify.com/track/1MIGkQxcdAt2lDx6ySpsc5
91,"Lil Bit (feat. Florida Georgia Line)",Nelly,321322,https://open.spotify.com/track/33aow0AcXYvT1FoWNzMcqN
92,"I GUESS I'M IN LOVE","Clinton Kane",319802,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
93,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,318455,https://open.spotify.com/track/5JKnYZOhSP7rOK0jPYcCjV
94,"Good Days",SZA,315807,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
95,telepatía,"Kali Uchis",313632,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
96,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",310948,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
97,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,308993,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
98,"Martin & Gina","Polo G",303541,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
99,"Mood (feat. iann dior)",24kGoldn,301661,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
100,justified,"Kacey Musgraves",299452,https://open.spotify.com/track/6IW4TUC3zHW4tpikDg1w7Y
101,"Astronaut In The Ocean","Masked Wolf",296255,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
102,"Come & Go (with Marshmello)","Juice WRLD",295712,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
103,YKWIM?,"Yot Club",295323,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
104,"I WANNA BE YOUR SLAVE",Måneskin,287806,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
105,"She Knows (feat. Amber Coffman & Cults)","J. Cole",287510,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
106,"Outside (Better Days)",Blueface,287113,https://open.spotify.com/track/26BMsCXJpD7eYtP7ufhApC
107,DÁKITI,"Bad Bunny",285534,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
108,"Betrayal (feat. Drake)","Trippie Redd",284916,https://open.spotify.com/track/4mOkfIYbMX9PXx27hj8NTi
109,"Watermelon Sugar","Harry Styles",283254,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
110,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","Tyler, The Creator",282466,https://open.spotify.com/track/5B0kgjHULYJhAQkK5XsMoC
111,"Ball If I Want To",DaBaby,281408,https://open.spotify.com/track/0cu0rhnlCnJ7JIeHRiLpj3
112,"Collard Greens","ScHoolboy Q",281355,https://open.spotify.com/track/0zO8ctW0UiuOefR87OeJOZ
113,"All Girls Are The Same","Juice WRLD",280455,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
