,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
144,"Ruin My Life","Zara Larsson",234804,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
145,"You Make My Dreams (Come True)","Daryl Hall & John Oates",233421,https://open.spotify.com/track/4o6BgsqLIBViaGVbx5rbRk
146,"Beautiful Crazy","Luke Combs",233127,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
147,1.5,"21 Savage",232882,https://open.spotify.com/track/2wOXxtHZgRkkrkEbKLzzqs
148,"Roll in Peace (feat. XXXTENTACION)","Kodak Black",231998,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
149,"ocean eyes","Billie Eilish",231584,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
150,bellyache,"Billie Eilish",231377,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
151,"Murder On My Mind","YNW Melly",231322,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
152,Tequila,"Dan + Shay",227562,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
153,"This Feeling","The Chainsmokers",226000,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
154,"Stir Fry",Migos,225055,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
155,"REEL IT IN",Aminé,224668,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
156,"BUTTERFLY EFFECT","Travis Scott",223494,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
157,Thunder,"Imagine Dragons",222602,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
158,Hope,XXXTENTACION,222193,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
159,"Solo (feat. Demi Lovato)","Clean Bandit",221999,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
160,Walk,Comethazine,221935,https://open.spotify.com/track/21kOVEG3bDCVphKhXL8XmQ
161,"Nowadays (feat. Landon Cube)","Lil Skies",220676,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
162,Location,Khalid,219336,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
163,"Jackie Chan",Tiësto,217492,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
164,"Bank Account","21 Savage",217194,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
165,Trampoline,SHAED,214894,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk
166,OTW,Khalid,213932,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
167,asmr,"21 Savage",213555,https://open.spotify.com/track/2QgfDF0fQ4sskDthP8MG5w
168,WAKA,6ix9ine,212812,https://open.spotify.com/track/6o79O9qBP3OAkWOXajAQIS
169,"Envy Me",Calboy,212374,https://open.spotify.com/track/6ymTp1jOINm0UURUZ2h603
170,Kamikaze,"Lil Mosey",212137,https://open.spotify.com/track/1iPBD72u3nAyFEeardYuBV
171,Africa,TOTO,211609,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
172,"Ain't No Mountain High Enough","Marvin Gaye",211365,https://open.spotify.com/track/0rwFsapoy5sQ0s74zwBTVj
173,"Black & White","Juice WRLD",210875,https://open.spotify.com/track/1fCeXjoRExPP2qwSBh2aST
174,"Mr. Brightside","The Killers",209076,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
175,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",207461,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
176,JAPAN,"Famous Dex",207000,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
177,"Promises (with Sam Smith)","Calvin Harris",206841,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
178,"Pumped Up Kicks","Foster The People",206405,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
179,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",206133,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
180,Legends,"Juice WRLD",205854,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
181,Believer,"Imagine Dragons",205592,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
182,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",205023,https://open.spotify.com/track/1a7WZZZH7LzyvorhpOJFTe
183,"NI BIEN NI MAL","Bad Bunny",204295,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
184,"ball w/o you","21 Savage",204009,https://open.spotify.com/track/50a8bKqlwDEqeiEknrzkTO
185,"I'm a Mess","Bebe Rexha",202407,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
186,"Taking A Walk","Trippie Redd",202305,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
187,"Foot Fungus","Ski Mask The Slump God",201939,https://open.spotify.com/track/3EikYy40GMSp8l5mDV6IQo
188,"Cheap Thrills",Sia,201601,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
