,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
78,"Behind Barz - Bonus",Drake,365517,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
79,"Self Control","YoungBoy Never Broke Again",364736,https://open.spotify.com/track/4vSoyDfL0uZyUoWu5NNNsQ
80,"Murder On My Mind","YNW Melly",363662,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
81,"Every Hour","Kanye West",362032,https://open.spotify.com/track/1WnqWQcWcuQbVzgE7ecfCY
82,"Lucid Dreams","Juice WRLD",360155,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
83,"Panini - DaBaby Remix","Lil Nas X",359294,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
84,"Going Bad (feat. Drake)","Meek Mill",359239,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
85,"Hollywood's Bleeding","Post Malone",358714,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
86,"Ransom (with Juice WRLD) - Remix","Lil Tecca",358427,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
87,"Nice To Meet Ya","Niall Horan",358362,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
88,"Monster Mash","Bobby ""Boris"" Pickett",355537,https://open.spotify.com/track/0xxZY5C9xxij3D1HkzbnfC
89,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",351908,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
90,Motivation,Normani,351713,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
91,"Old Town Road - Remix","Lil Nas X",351629,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
92,"It's You","Ali Gatie",351299,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
93,"Used To Love (with Dean Lewis)","Martin Garrix",344763,https://open.spotify.com/track/7pWK1kMgHy5lNNiIfuRbkP
94,"Good as Hell",Lizzo,340427,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
95,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",335302,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
96,I.F.L.Y.,Bazzi,334946,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
97,"Hot Now","YoungBoy Never Broke Again",333331,https://open.spotify.com/track/3eeyKNIBrt5TH4y0y3QkOu
98,Ghostbusters,"Ray Parker Jr.",329484,https://open.spotify.com/track/5PIB8aoUJoCRh1O5TEGdOj
99,Robbery,"Juice WRLD",329061,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
100,Easy,"Camila Cabello",328176,https://open.spotify.com/track/46D0hYb1B7qiU33VtXt21W
101,"Sanguine Paradise","Lil Uzi Vert",325998,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
102,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",325101,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
103,"Ride It",Regard,320942,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
104,"I Don't Care (with Justin Bieber)","Ed Sheeran",320215,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
105,"Playing Games (with Bryson Tiller) - Extended Version","Summer Walker",319125,https://open.spotify.com/track/2xyx0o4xNOLLjBSbOOdcbA
106,"SLOW DANCING IN THE DARK",Joji,317155,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
107,"Make It Right (feat. Lauv)",BTS,314615,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH
108,"Die For Me (feat. Future & Halsey)","Post Malone",313361,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
109,"when the party's over","Billie Eilish",311296,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
110,"Takeaway (feat. Lennon Stella)","The Chainsmokers",310134,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
111,"One Man Band","Old Dominion",308136,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
112,Callaita,"Bad Bunny",304798,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
113,Lover,"Taylor Swift",304441,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
114,EARFQUAKE,"Tyler, The Creator",302588,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
115,"All I Want for Christmas Is You","Mariah Carey",302453,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
116,"Love Me","Lil Tecca",302332,https://open.spotify.com/track/4e0FYxSROat25pH16zMTZI
117,"Cash Shit (feat. DaBaby)","Megan Thee Stallion",301698,https://open.spotify.com/track/2rMAtCaTj16NptyVfEIeAC
118,Sucker,"Jonas Brothers",299702,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
119,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",298777,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
120,"Pure Water (with Migos)",Mustard,298686,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
121,goosebumps,"Travis Scott",296628,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
122,"lovely (with Khalid)","Billie Eilish",295028,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
123,"My Type",Saweetie,294371,https://open.spotify.com/track/5KBARWIxeMGkvUax9VtVC9
124,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,294270,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
125,"rockstar (feat. 21 Savage)","Post Malone",293836,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
126,"thank u, next","Ariana Grande",292376,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
127,"Jesus Is Lord","Kanye West",292196,https://open.spotify.com/track/7sBgFMWqDWQgrsNSpIBoe8
128,"Baby Birkin",Gunna,291640,https://open.spotify.com/track/0BOmhToQ03yOdpzYKMEnAg
129,"7 rings","Ariana Grande",291576,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
130,Speechless,"Dan + Shay",291502,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
131,"LA CANCIÓN","J Balvin",290725,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
132,Bruises,"Lewis Capaldi",288367,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
133,"Envy Me",Calboy,287005,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx
134,"This Is Halloween","The Citizens of Halloween",286051,https://open.spotify.com/track/63y2aL2dT6zzw8FOSLaNrp
135,Better,Khalid,285601,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
136,"Better Now","Post Malone",285432,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
137,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",284979,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
138,"You Need To Calm Down","Taylor Swift",284355,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
139,INTRO,DaBaby,283715,https://open.spotify.com/track/77KMttn3Lic7ZQKDlPqp8v
140,"I Fall Apart","Post Malone",280992,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
141,Feelings,Lauv,280308,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
142,"One Thing Right",Marshmello,279322,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
143,Lonely,Diplo,277141,https://open.spotify.com/track/4fwo6czG5nvOQMzhOto1ya
144,"Eastside (with Halsey & Khalid)","benny blanco",274801,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
145,"boyfriend (with Social House)","Ariana Grande",273305,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
146,Happier,Marshmello,270937,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
147,"RAW SHIT (feat. Migos)",DaBaby,268222,https://open.spotify.com/track/1CCDIow4pPYyJYzhtTUYz2
148,SAD!,XXXTENTACION,267653,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
149,Chanel,"Frank Ocean",265756,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh
150,"BEST ON EARTH (feat. BIA) - Bonus",Russ,265074,https://open.spotify.com/track/2Xo3rLHjXfdb4avN68aQyi
151,"RITMO (Bad Boys For Life)","Black Eyed Peas",261104,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
152,Juicy,"Doja Cat",260649,https://open.spotify.com/track/7qvsl2pYzrsYgPeFBN5jxp
153,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,259552,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
154,"Without Me",Halsey,258733,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
155,"MTOMB (feat. Liv.e)",Liv.e,256683,https://open.spotify.com/track/3llFXzpLPQmxag3iL35yxg
156,"Beautiful Crazy","Luke Combs",256136,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
157,MAMACITA,Tyga,254718,https://open.spotify.com/track/51wFQM8W0YfXTmHusXUr5i
158,China,"Anuel AA",253846,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
159,Noticed,"Lil Mosey",252660,https://open.spotify.com/track/7zLYKWcXnYeHHWidalz7rj
160,"Dancing With A Stranger (with Normani)","Sam Smith",252377,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
161,"Come Thru (with Usher)","Summer Walker",250870,https://open.spotify.com/track/3TTMUI5dFcbeNSDTTDY9M8
162,"a lot","21 Savage",250220,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
