,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
68,"Eastside (with Halsey & Khalid)","benny blanco",477923,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
69,KANGA,6ix9ine,473469,https://open.spotify.com/track/0EwS8XJQspgrj1zSUXhFkl
70,"Ready (feat. Gunna)","Lil Baby",473431,https://open.spotify.com/track/4F6yN5FsFW10Ucx7cLCzBh
71,Trauma,"Meek Mill",466116,https://open.spotify.com/track/45CCe4gu08OYG1I4MH8TU6
72,Championships,"Meek Mill",460933,https://open.spotify.com/track/5DTOk0tCrmicVQP4mc6hkr
73,"Underneath the Tree","Kelly Clarkson",458645,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
74,breathin,"Ariana Grande",456473,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
75,BEBE,6ix9ine,454442,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
76,"Splash Warning (feat. Future, Roddy Ricch and Young Thug)","Meek Mill",446227,https://open.spotify.com/track/6cPnE82DKBLd7sg02ZNg8K
77,"Lonesome Train","Stan Kenton",443156,https://open.spotify.com/track/46DwQbCUzWr4bT0Uu2lDK8
78,"Almost Slipped","Meek Mill",442145,https://open.spotify.com/track/1bx4Jw8A7GQtImIQGccI6D
79,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,436513,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
80,"Pay You Back (feat. 21 Savage)","Meek Mill",436114,https://open.spotify.com/track/0UNeNA0dcfUMsGxvLwf2p3
81,"Holly Jolly Christmas","Michael Bublé",434688,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
82,"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge",429744,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK
83,"All Girls Are The Same","Juice WRLD",428336,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
84,"24/7 (feat. Ella Mai)","Meek Mill",424880,https://open.spotify.com/track/6irE4Fbjbry3czv7mTxVSB
85,"In My Feelings",Drake,424700,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
86,"Have Yourself A Merry Little Christmas","Sam Smith",419791,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
87,"Santa Baby","Ariana Grande",418846,https://open.spotify.com/track/6YJdPrH3i2POzu7hdHIRrb
88,"Crush A Lot","Lil Baby",418767,https://open.spotify.com/track/39RWYLt6hgk9BbhkDgaHW9
89,"I Like It","Cardi B",418096,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
90,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,416944,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
91,"Bohemian Rhapsody - Remastered 2011",Queen,410800,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
92,"God is a woman","Ariana Grande",408880,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
93,"Blue Christmas","Elvis Presley",407088,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
94,"Faucet Failure","Ski Mask The Slump God",405635,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
95,"rockstar (feat. 21 Savage)","Post Malone",404897,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
96,"Saturday Nights",Khalid,402174,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
97,"I Love It (& Lil Pump)","Kanye West",397475,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
98,idontwannabeyouanymore,"Billie Eilish",392078,https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH
99,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",390456,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
100,"Feliz Navidad","José Feliciano",390111,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
101,"High Hopes","Panic! At The Disco",389263,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
102,changes,XXXTENTACION,387463,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
103,"No Stylist (feat. Drake)","French Montana",386958,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
104,"I Fall Apart","Post Malone",385583,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
105,bellyache,"Billie Eilish",385187,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
106,"Don't Come Out The House (with 21 Savage)","Metro Boomin",383617,https://open.spotify.com/track/2Grb4G6t9VIqo6moKUloom
107,"Psycho (feat. Ty Dolla $ign)","Post Malone",383360,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
108,Shallow,"Lady Gaga",381869,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
109,"Dangerous (feat. Jeremih and PnB Rock)","Meek Mill",380822,https://open.spotify.com/track/3lb5fWSG2p7x8ik8HN9oFR
110,"God's Plan",Drake,380253,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
111,"1400 / 999 Freestyle","Trippie Redd",379722,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
112,"Oodles O' Noodles Babies","Meek Mill",379047,https://open.spotify.com/track/0jqLv5PuEUA0GthFjdtlS1
113,Noticed,"Lil Mosey",377757,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
