,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
100,Youngblood,"5 Seconds of Summer",312946,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
101,"SLOW DANCING IN THE DARK",Joji,311159,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
102,"I Like Me Better",Lauv,307751,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
103,"MIA (feat. Drake)","Bad Bunny",307211,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
104,"listen before i go","Billie Eilish",306332,https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE
105,Sixteen,"Ellie Goulding",305280,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd
106,"Don't Call Me Up",Mabel,303998,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
107,Tequila,"Dan + Shay",301067,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
108,ilomilo,"Billie Eilish",300941,https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD
109,"The Bones","Maren Morris",300930,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL
110,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",300017,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
111,"I Like It","Cardi B",299664,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
112,Cool,"Jonas Brothers",299379,https://open.spotify.com/track/3QmolSZqjjLksTUvZJ6pPS
113,"Pure Cocaine","Lil Baby",299361,https://open.spotify.com/track/577YBGuskWkVDCxZrLRB4v
114,Nonstop,Drake,297765,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
115,Freaky,"Tory Lanez",297720,https://open.spotify.com/track/0NJp8GyCOWnQh71xKSPfuV
116,"Ric Flair Drip (& Metro Boomin)",Offset,294364,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
117,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",289768,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
118,"MONOPOLY (with Victoria Monét)","Ariana Grande",289509,https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P
119,Noticed,"Lil Mosey",289499,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
120,"Red Room",Offset,287579,https://open.spotify.com/track/4TWflhgevIGo448fWc6mQq
121,bellyache,"Billie Eilish",287345,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
122,"XO Tour Llif3","Lil Uzi Vert",287253,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
123,"Bohemian Rhapsody - Remastered 2011",Queen,286991,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
124,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,284761,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
125,"Drugs & The Internet",Lauv,284357,https://open.spotify.com/track/4SHhui9S7lFYGHXikfneGo
126,"All Girls Are The Same","Juice WRLD",284344,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
127,Money,"Cardi B",283838,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
128,"Young Dumb & Broke",Khalid,280752,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
129,Congratulations,"Post Malone",274410,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
130,Location,Khalid,273998,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
131,"I Don't Belong In This Club","Why Don't We",273612,https://open.spotify.com/track/45ZGEdLxCZvdMX9jWlsAAx
132,"Goin Baby",DaBaby,270663,https://open.spotify.com/track/3WyRgi8CzQnhzO0xw79tTS
133,Speechless,"Dan + Shay",269323,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
134,"God's Plan",Drake,268355,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
135,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,267000,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
136,"Make Believe","Juice WRLD",265597,https://open.spotify.com/track/6eiztdXRkooWsBt2xToMWI
137,"Hear Me Calling","Juice WRLD",263908,https://open.spotify.com/track/13ZyrkCDmRz5xY3seuAWYk
138,8,"Billie Eilish",262548,https://open.spotify.com/track/6X29iaaazwho3ab7GNue5r
139,"Best Part (feat. Daniel Caesar)",H.E.R.,260461,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
140,"Whiskey Glasses","Morgan Wallen",258444,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
141,"Die Young","Roddy Ricch",258233,https://open.spotify.com/track/3wLtYwtqvKK2ewelSVPeDK
142,"This Feeling","The Chainsmokers",257536,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
143,"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5",254448,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
144,Fast,"Juice WRLD",254402,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ
145,HUMBLE.,"Kendrick Lamar",251790,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
146,"Stop Snitchin",YG,250132,https://open.spotify.com/track/3hhs1XHsWvbH0mP9D1BT2Z
147,"The Middle",Zedd,249077,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
148,"Beautiful (feat. Camila Cabello)",Bazzi,248987,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
149,"Wow. - Remix","Post Malone",248987,https://open.spotify.com/track/0fcq51a3gOI6gPvzc0YLsk
150,goosebumps,"Travis Scott",248590,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
151,NASA,"Ariana Grande",247987,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq
152,Mine,Bazzi,247114,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
153,"Look Alive (feat. Drake)","BlocBoy JB",245754,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
154,"Con Calma","Daddy Yankee",244938,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
155,"Legacy (feat. Travis Scott & 21 Savage)",Offset,243940,https://open.spotify.com/track/7pMRoGLEJuFM2wl5pt0R99
156,YOSEMITE,"Travis Scott",242698,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
157,changes,XXXTENTACION,241833,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
158,"Slime Belief","YoungBoy Never Broke Again",239834,https://open.spotify.com/track/2qGfZAgDe1pV2y5xJAhi6R
159,"Love Lies (with Normani)",Khalid,239322,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
160,"Get You The Moon (feat. Snøw)",Kina,238887,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
161,HP,Maluma,238199,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
162,"No Role Modelz","J. Cole",237601,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
163,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",237260,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
164,"On My Way","Alan Walker",235771,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
165,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",235522,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
166,CrasH,"ScHoolboy Q",235391,https://open.spotify.com/track/6BKAKoo7J2vwJGZJs5dhGD
167,"Lean Wit Me","Juice WRLD",232962,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
168,Formation,Beyoncé,232205,https://open.spotify.com/track/6g0Orsxv6glTJCt4cHsRsQ
